Source,Target,Weight
死/verb,今/noun,2
死/verb,則/adv,2
今/noun,命/noun,2
今/noun,死/verb,2
則/adv,死/verb,2
未/adv,聞/verb,2
聞/verb,未/adv,2
聞/verb,學/noun,2
學/noun,聞/verb,2
求/verb,使/verb,2
使/verb,求/verb,2
達/verb,政/noun,2
政/noun,達/verb,2
命/noun,有/verb,2
有/verb,命/noun,2
得/verb,人/noun,2
人/noun,得/verb,2
曰/verb,非/adv,2
非/adv,曰/verb,2
由/verb,何/adv,2
何/adv,由/verb,2
何/adv,莫/adv,2
莫/adv,何/adv,2
事/noun,未/adv,2
未/adv,事/noun,2
遠/verb,謂/verb,2
謂/verb,遠/verb,2
謂/verb,知/verb,2
知/verb,謂/verb,2
先/noun,後/noun,2
後/noun,先/noun,2
文/noun,則/adv,2
則/adv,文/noun,2
然/verb,君子/noun,2
後/noun,君子/noun,2
君子/noun,然/verb,2
君子/noun,後/noun,2
中/noun,人/noun,2
中/noun,以/verb,2
人/noun,中/noun,2
人/noun,上/noun,2
以/verb,中/noun,2
上/noun,人/noun,2
為/verb,至/verb,2
至/verb,為/verb,2
仁/noun,必/adv,2
必/adv,仁/noun,2
仁/verb,立/verb,2
立/verb,仁/verb,2
立/verb,人/noun,2
人/noun,立/verb,2
用/verb,則/adv,2
則/adv,用/verb,2
士/noun,為/verb,2
為/verb,士/noun,2
從/verb,好/verb,2
好/verb,從/verb,2
無/verb,與/verb,2
與/verb,無/verb,2
與/verb,必/adv,2
必/adv,與/verb,2
必/adv,事/noun,2
事/noun,必/adv,2
事/noun,好/verb,2
好/verb,事/noun,2
年/noun,學/verb,2
學/verb,年/noun,2
天/noun,德/noun,2
德/noun,天/noun,2
樂/noun,亦/adv,2
亦/adv,樂/noun,2
曰/verb,為/verb,2
為/verb,曰/verb,2
見/verb,君子/noun,2
君子/noun,見/verb,2
仁/noun,遠/verb,2
遠/verb,仁/noun,2
仁/noun,至/verb,2
至/verb,仁/noun,2
有/verb,過/noun,2
過/noun,有/verb,2
必/adv,知/verb,2
知/verb,必/adv,2
無/verb,聞/verb,2
聞/verb,無/verb,2
見/verb,知/verb,2
知/verb,見/verb,2
善/verb,見/verb,2
見/verb,善/verb,2
有/verb,可/verb,2
可/verb,有/verb,2
難/verb,有/verb,2
有/verb,難/verb,2
未/adv,得/verb,2
有/verb,得/verb,2
得/verb,未/adv,2
得/verb,有/verb,2
上/noun,下/noun,2
下/noun,上/noun,2
亦/adv,君/noun,2
君/noun,亦/adv,2
謂/verb,君/noun,2
君/noun,謂/verb,2
君/noun,知/verb,2
知/verb,君/noun,2
無/verb,得/verb,2
得/verb,無/verb,2
命/noun,大/verb,2
大/verb,命/noun,2
今/noun,後/noun,2
後/noun,今/noun,2
後/noun,知/verb,2
知/verb,後/noun,2
問/verb,多/verb,2
以/verb,多/verb,2
多/verb,問/verb,2
多/verb,以/verb,2
禮/noun,成/verb,2
成/verb,禮/noun,2
使/verb,由/verb,2
由/verb,使/verb,2
由/verb,知/verb,2
知/verb,由/verb,2
勇/noun,禮/noun,2
禮/noun,勇/noun,2
民/noun,仁/noun,2
仁/noun,民/noun,2
死/verb,善/verb,2
善/verb,死/verb,2
信/verb,出/verb,2
出/verb,信/verb,2
士/noun,以/verb,2
以/verb,士/noun,2
死/verb,後/noun,2
後/noun,死/verb,2
學/verb,如/verb,2
如/verb,學/verb,2
信/verb,學/noun,2
學/noun,信/verb,2
邦/noun,居/verb,2
居/verb,邦/noun,2
道/noun,見/verb,2
見/verb,道/noun,2
見/verb,無/verb,2
無/verb,見/verb,2
天/noun,為/verb,2
天/noun,大/verb,2
為/verb,天/noun,2
大/verb,天/noun,2
有/verb,成/verb,2
成/verb,有/verb,2
有/verb,文/noun,2
文/noun,有/verb,2
無/verb,然/verb,2
然/verb,無/verb,2
禮/noun,今/noun,2
今/noun,禮/noun,2
下/noun,禮/noun,2
禮/noun,下/noun,2
多/verb,事/noun,2
事/noun,多/verb,2
君子/noun,多/verb,2
多/verb,君子/noun,2
文/noun,天/noun,2
天/noun,文/noun,2
文/noun,死/verb,2
死/verb,文/noun,2
文/noun,未/adv,2
未/adv,文/noun,2
君子/noun,何/adv,2
何/adv,君子/noun,2
見/verb,德/noun,2
德/noun,見/verb,2
如/verb,色/noun,2
好/verb,色/noun,2
色/noun,如/verb,2
色/noun,好/verb,2
無/verb,臣/noun,2
臣/noun,無/verb,2
雖/adv,從/verb,2
從/verb,雖/adv,2
思/verb,遠/verb,2
遠/verb,思/verb,2
與/verb,學/verb,2
學/verb,與/verb,2
道/noun,未/adv,2
未/adv,道/noun,2
未/adv,立/verb,2
立/verb,未/adv,2
樂/noun,人/noun,2
人/noun,樂/noun,2
禮/noun,君子/noun,2
君子/noun,禮/noun,2
君子/noun,如/verb,2
如/verb,君子/noun,2
則/adv,從/verb,2
從/verb,則/adv,2
未/adv,事/verb,2
事/verb,未/adv,2
得/verb,死/verb,2
死/verb,得/verb,2
言/verb,子/noun,2
子/noun,言/verb,2
行/verb,為/verb,2
為/verb,行/verb,2
為/verb,死/verb,2
死/verb,為/verb,2
有/verb,父/noun,2
父/noun,有/verb,2
由/verb,人/noun,2
人/noun,由/verb,2
謂/verb,大/verb,2
大/verb,謂/verb,2
行/verb,曰/verb,2
子/noun,有/verb,2
曰/verb,行/verb,2
有/verb,子/noun,2
求/verb,問/verb,2
問/verb,求/verb,2
居/verb,則/adv,2
則/adv,居/verb,2
然/verb,為/verb,2
後/noun,為/verb,2
為/verb,然/verb,2
為/verb,後/noun,2
求/verb,謂/verb,2
謂/verb,求/verb,2
今/noun,求/verb,2
求/verb,今/noun,2
由/verb,為/verb,2
為/verb,由/verb,2
為/verb,及/verb,2
及/verb,為/verb,2
及/verb,年/noun,2
及/verb,使/verb,2
年/noun,及/verb,2
年/noun,使/verb,2
使/verb,及/verb,2
使/verb,年/noun,2
使/verb,有/verb,2
有/verb,使/verb,2
勇/noun,知/verb,2
知/verb,勇/noun,2
民/noun,如/verb,2
如/verb,民/noun,2
夫子/noun,由/verb,2
由/verb,夫子/noun,2
求/verb,非/adv,2
則/adv,非/adv,2
非/adv,求/verb,2
非/adv,則/adv,2
如/verb,邦/noun,2
邦/noun,如/verb,2
言/noun,謂/verb,2
謂/verb,言/noun,2
下/noun,仁/noun,2
仁/noun,下/noun,2
如/verb,大/verb,2
大/verb,如/verb,2
大/verb,使/verb,2
使/verb,大/verb,2
文/noun,為/verb,2
為/verb,文/noun,2
行/verb,謂/verb,2
謂/verb,行/verb,2
在/verb,君子/noun,2
君子/noun,在/verb,2
無/verb,失/verb,2
失/verb,無/verb,2
夫子/noun,君子/noun,2
君子/noun,夫子/noun,2
以/verb,正/verb,2
正/verb,以/verb,2
謂/verb,達/verb,2
達/verb,謂/verb,2
欲/verb,惡/verb,2
惡/verb,欲/verb,2
使/verb,直/verb,2
直/verb,使/verb,2
善/verb,民/noun,2
民/noun,善/verb,2
見/verb,夫子/noun,2
夫子/noun,見/verb,2
非/adv,達/verb,2
達/verb,非/adv,2
必/adv,達/verb,2
達/verb,必/adv,2
正/verb,行/verb,2
行/verb,正/verb,2
行/verb,身/noun,2
身/noun,行/verb,2
以/verb,達/verb,2
達/verb,以/verb,2
年/noun,亦/adv,2
亦/adv,年/noun,2
必/adv,後/noun,2
後/noun,必/adv,2
上/noun,禮/noun,2
禮/noun,上/noun,2
莫/adv,上/noun,2
上/noun,莫/adv,2
雖/adv,以/verb,2
以/verb,雖/adv,2
正/verb,如/verb,2
如/verb,正/verb,2
言/noun,則/adv,2
則/adv,言/noun,2
則/adv,成/verb,2
成/verb,則/adv,2
君子/noun,必/adv,2
必/adv,君子/noun,2
見/verb,小/verb,2
小/verb,見/verb,2
達/verb,小/verb,2
小/verb,達/verb,2
君/noun,難/verb,2
難/verb,君/noun,2
臣/noun,如/verb,2
如/verb,臣/noun,2
事/noun,人/noun,2
人/noun,事/noun,2
人/noun,雖/adv,2
雖/adv,人/noun,2
今/noun,從/verb,2
今/noun,政/noun,2
從/verb,今/noun,2
政/noun,今/noun,2
言/verb,信/verb,2
必/adv,信/verb,2
信/verb,言/verb,2
信/verb,必/adv,2
善/verb,好/verb,2
好/verb,善/verb,2
難/verb,則/adv,2
則/adv,難/verb,2
事/noun,難/verb,2
難/verb,事/noun,2
難/verb,說/verb,2
說/verb,難/verb,2
道/noun,使/verb,2
說/verb,使/verb,2
說/verb,人/noun,2
使/verb,道/noun,2
使/verb,說/verb,2
人/noun,說/verb,2
小/verb,難/verb,2
人/noun,難/verb,2
難/verb,小/verb,2
難/verb,人/noun,2
說/verb,雖/adv,2
雖/adv,說/verb,2
雖/adv,道/noun,2
道/noun,雖/adv,2
道/noun,言/noun,2
言/noun,道/noun,2
有/verb,小/verb,2
小/verb,有/verb,2
必/adv,勇/noun,2
勇/noun,必/adv,2
為/verb,成/verb,2
成/verb,為/verb,2
言/noun,亦/adv,2
亦/adv,言/noun,2
君子/noun,上/noun,2
上/noun,君子/noun,2
學/noun,今/noun,2
今/noun,學/noun,2
學/noun,人/noun,2
人/noun,學/noun,2
君子/noun,思/verb,2
思/verb,君子/noun,2
莫/adv,子/noun,2
子/noun,莫/adv,2
德/noun,怨/verb,2
怨/verb,德/noun,2
人/noun,然/verb,2
然/verb,人/noun,2
事/noun,學/verb,2
學/verb,事/noun,2
見/verb,居/verb,2
居/verb,見/verb,2
行/verb,求/verb,2
求/verb,行/verb,2
言/verb,失/verb,2
失/verb,言/verb,2
士/noun,人/noun,2
人/noun,士/noun,2
敬/verb,雖/adv,2
雖/adv,敬/verb,2
行/verb,立/verb,2
立/verb,行/verb,2
君子/noun,求/verb,2
君子/noun,小/verb,2
求/verb,君子/noun,2
求/verb,小/verb,2
小/verb,君子/noun,2
小/verb,求/verb,2
以/verb,出/verb,2
出/verb,以/verb,2
道/noun,非/adv,2
非/adv,道/noun,2
直/verb,道/noun,2
道/noun,直/verb,2
在/verb,學/noun,2
學/noun,在/verb,2
見/verb,死/verb,2
死/verb,見/verb,2
欲/verb,臣/noun,2
臣/noun,欲/verb,2
得/verb,失/verb,2
失/verb,得/verb,2
禮/noun,未/adv,2
未/adv,禮/noun,2
政/noun,大/verb,2
大/verb,政/noun,2
樂/noun,道/noun,2
道/noun,樂/noun,2
及/verb,言/verb,2
及/verb,謂/verb,2
言/verb,及/verb,2
謂/verb,及/verb,2
知/verb,學/verb,2
學/verb,知/verb,2
為/verb,下/noun,2
下/noun,為/verb,2
道/noun,禮/noun,2
禮/noun,道/noun,2
天/noun,出/verb,2
出/verb,天/noun,2
有/verb,聞/verb,2
聞/verb,有/verb,2
夫子/noun,人/noun,2
人/noun,夫子/noun,2
邦/noun,謂/verb,2
謂/verb,邦/noun,2
人/noun,聞/verb,2
聞/verb,人/noun,2
思/verb,色/noun,2
色/noun,思/verb,2
思/verb,言/noun,2
言/noun,思/verb,2
思/verb,事/noun,2
事/noun,思/verb,2
見/verb,得/verb,2
得/verb,見/verb,2
得/verb,思/verb,2
得/verb,義/noun,2
思/verb,得/verb,2
義/noun,得/verb,2
夫子/noun,曰/verb,2
曰/verb,夫子/noun,2
學/verb,道/noun,2
道/noun,學/verb,2
由/verb,聞/verb,2
聞/verb,由/verb,2
曰/verb,禮/noun,2
禮/noun,曰/verb,2
則/adv,得/verb,2
得/verb,則/adv,2
何/adv,學/verb,2
學/verb,何/adv,2
事/verb,遠/verb,2
遠/verb,事/verb,2
天/noun,言/verb,2
言/verb,天/noun,2
君子/noun,勇/noun,2
勇/noun,君子/noun,2
日/noun,無/verb,2
無/verb,日/noun,2
亦/adv,惡/noun,2
惡/noun,亦/adv,2
勇/noun,義/noun,2
義/noun,勇/noun,2
禮/noun,必/adv,2
必/adv,禮/noun,2
樂/noun,必/adv,2
必/adv,樂/noun,2
志/noun,身/noun,2
身/noun,志/noun,2
身/noun,言/verb,2
身/noun,中/noun,2
言/verb,身/noun,2
言/verb,中/noun,2
中/noun,身/noun,2
中/noun,言/verb,2
曰/verb,可/verb,2
可/verb,曰/verb,2
信/verb,後/noun,2
後/noun,信/verb,2
則/adv,為/verb,2
為/verb,則/adv,2
焉/adv,學/verb,2
學/verb,焉/adv,2
敬/verb,信/verb,1
事/noun,信/verb,1
信/verb,敬/verb,1
信/verb,事/noun,1
信/verb,用/verb,1
用/verb,信/verb,1
用/verb,人/noun,1
人/noun,用/verb,1
亦/adv,說/verb,1
說/verb,亦/adv,1
說/verb,有/verb,1
有/verb,說/verb,1
知/verb,亦/adv,1
亦/adv,知/verb,1
身/noun,人/noun,1
人/noun,身/noun,1
遠/verb,民/noun,1
遠/verb,德/noun,1
民/noun,遠/verb,1
德/noun,遠/verb,1
立/verb,道/noun,1
道/noun,立/verb,1
夫子/noun,至/verb,1
至/verb,夫子/noun,1
至/verb,必/adv,1
必/adv,至/verb,1
聞/verb,政/noun,1
政/noun,聞/verb,1
政/noun,求/verb,1
求/verb,政/noun,1
求/verb,與/verb,1
與/verb,求/verb,1
賢/verb,色/noun,1
色/noun,賢/verb,1
色/noun,事/verb,1
色/noun,父/noun,1
事/verb,色/noun,1
父/noun,色/noun,1
君/noun,身/noun,1
身/noun,君/noun,1
雖/adv,未/adv,1
未/adv,雖/adv,1
未/adv,必/adv,1
必/adv,未/adv,1
必/adv,謂/verb,1
謂/verb,必/adv,1
在/verb,志/noun,1
志/noun,在/verb,1
志/noun,父/noun,1
父/noun,志/noun,1
禮/noun,遠/verb,1
遠/verb,禮/noun,1
云/verb,如/verb,1
如/verb,云/verb,1
為/verb,先/noun,1
先/noun,為/verb,1
先/noun,道/noun,1
道/noun,先/noun,1
道/noun,為/verb,1
為/verb,道/noun,1
小/verb,由/verb,1
大/verb,由/verb,1
大/verb,有/verb,1
由/verb,小/verb,1
由/verb,大/verb,1
由/verb,有/verb,1
由/verb,行/verb,1
有/verb,大/verb,1
有/verb,由/verb,1
行/verb,由/verb,1
亦/adv,行/verb,1
行/verb,亦/adv,1
事/noun,言/noun,1
言/noun,事/noun,1
道/noun,正/verb,1
正/verb,道/noun,1
正/verb,謂/verb,1
正/verb,好/verb,1
謂/verb,正/verb,1
好/verb,正/verb,1
曰/verb,思/verb,1
思/verb,曰/verb,1
政/noun,德/noun,1
德/noun,政/noun,1
有/verb,學/noun,1
學/noun,有/verb,1
學/noun,立/verb,1
立/verb,學/noun,1
命/noun,從/verb,1
從/verb,命/noun,1
從/verb,欲/verb,1
欲/verb,從/verb,1
事/noun,禮/noun,1
禮/noun,事/noun,1
今/noun,謂/verb,1
謂/verb,今/noun,1
謂/verb,至/verb,1
至/verb,謂/verb,1
有/verb,敬/verb,1
敬/verb,有/verb,1
言/verb,日/noun,1
日/noun,言/verb,1
以/verb,由/verb,1
由/verb,以/verb,1
先/noun,行/verb,1
先/noun,言/noun,1
行/verb,先/noun,1
言/noun,先/noun,1
後/noun,從/verb,1
從/verb,後/noun,1
色/noun,有/verb,1
有/verb,色/noun,1
有/verb,事/verb,1
事/verb,有/verb,1
使/verb,敬/verb,1
敬/verb,使/verb,1
直/verb,民/noun,1
民/noun,直/verb,1
信/verb,可/verb,1
知/verb,可/verb,1
可/verb,信/verb,1
可/verb,知/verb,1
可/verb,大/verb,1
大/verb,可/verb,1
何/adv,行/verb,1
行/verb,何/adv,1
見/verb,為/verb,1
為/verb,見/verb,1
雖/adv,知/verb,1
知/verb,雖/adv,1
問/verb,禮/noun,1
禮/noun,問/verb,1
事/noun,後/noun,1
後/noun,事/noun,1
為/verb,謂/verb,1
謂/verb,為/verb,1
與/verb,如/verb,1
如/verb,與/verb,1
說/verb,天/noun,1
說/verb,下/noun,1
天/noun,說/verb,1
天/noun,如/verb,1
下/noun,說/verb,1
下/noun,如/verb,1
如/verb,天/noun,1
如/verb,下/noun,1
文/noun,從/verb,1
從/verb,文/noun,1
謂/verb,人/noun,1
人/noun,謂/verb,1
子/noun,禮/noun,1
禮/noun,子/noun,1
事/noun,問/verb,1
問/verb,事/noun,1
事/verb,如/verb,1
如/verb,事/verb,1
禮/noun,事/verb,1
事/verb,禮/noun,1
君/noun,以/verb,1
以/verb,君/noun,1
成/verb,說/verb,1
說/verb,成/verb,1
說/verb,事/verb,1
事/verb,說/verb,1
事/noun,焉/adv,1
焉/adv,事/noun,1
君子/noun,至/verb,1
至/verb,君子/noun,1
曰/verb,使/verb,1
曰/verb,民/noun,1
使/verb,曰/verb,1
民/noun,曰/verb,1
居/verb,上/noun,1
上/noun,居/verb,1
為/verb,敬/verb,1
禮/noun,敬/verb,1
敬/verb,為/verb,1
敬/verb,禮/noun,1
君/noun,好/verb,1
好/verb,君/noun,1
好/verb,有/verb,1
有/verb,好/verb,1
死/verb,可/verb,1
可/verb,死/verb,1
過/noun,知/verb,1
過/noun,仁/noun,1
知/verb,過/noun,1
仁/noun,過/noun,1
士/noun,道/noun,1
道/noun,士/noun,1
惡/verb,未/adv,1
未/adv,惡/verb,1
行/verb,多/verb,1
多/verb,行/verb,1
無/verb,莫/adv,1
莫/adv,無/verb,1
莫/adv,義/noun,1
莫/adv,與/verb,1
義/noun,莫/adv,1
義/noun,與/verb,1
與/verb,莫/adv,1
與/verb,義/noun,1
好/verb,無/verb,1
無/verb,好/verb,1
仁/noun,使/verb,1
使/verb,仁/noun,1
使/verb,仁/verb,1
仁/verb,使/verb,1
仁/verb,身/noun,1
身/noun,仁/verb,1
有/verb,日/noun,1
日/noun,有/verb,1
仁/noun,未/adv,1
未/adv,仁/noun,1
立/verb,莫/adv,1
莫/adv,立/verb,1
莫/adv,求/verb,1
求/verb,莫/adv,1
欲/verb,以/verb,1
欲/verb,道/noun,1
以/verb,欲/verb,1
道/noun,欲/verb,1
得/verb,君子/noun,1
君子/noun,得/verb,1
君子/noun,仁/noun,1
仁/noun,君子/noun,1
義/noun,小/verb,1
義/noun,人/noun,1
小/verb,義/noun,1
人/noun,義/noun,1
見/verb,賢/verb,1
賢/verb,見/verb,1
在/verb,遠/verb,1
遠/verb,在/verb,1
言/verb,出/verb,1
出/verb,言/verb,1
以/verb,失/verb,1
失/verb,以/verb,1
見/verb,志/noun,1
志/noun,見/verb,1
志/noun,從/verb,1
從/verb,志/noun,1
從/verb,敬/verb,1
敬/verb,從/verb,1
年/noun,知/verb,1
年/noun,則/adv,1
知/verb,年/noun,1
則/adv,年/noun,1
雖/adv,在/verb,1
在/verb,雖/adv,1
中/noun,非/adv,1
非/adv,中/noun,1
無/verb,焉/adv,1
焉/adv,無/verb,1
從/verb,與/verb,1
與/verb,從/verb,1
立/verb,使/verb,1
使/verb,立/verb,1
言/verb,知/verb,1
言/verb,仁/noun,1
知/verb,言/verb,1
仁/noun,言/verb,1
信/verb,今/noun,1
今/noun,信/verb,1
下/noun,問/verb,1
問/verb,下/noun,1
夫子/noun,文/noun,1
文/noun,夫子/noun,1
文/noun,得/verb,1
得/verb,文/noun,1
聞/verb,言/noun,1
言/noun,聞/verb,1
言/noun,天/noun,1
天/noun,言/noun,1
天/noun,得/verb,1
得/verb,天/noun,1
行/verb,事/noun,1
事/noun,行/verb,1
事/noun,上/noun,1
上/noun,事/noun,1
使/verb,義/noun,1
義/noun,使/verb,1
惡/verb,怨/verb,1
惡/verb,用/verb,1
怨/verb,惡/verb,1
怨/verb,用/verb,1
用/verb,惡/verb,1
用/verb,怨/verb,1
成/verb,知/verb,1
知/verb,成/verb,1
道/noun,知/verb,1
知/verb,道/noun,1
知/verb,邦/noun,1
邦/noun,知/verb,1
必/adv,以/verb,1
以/verb,必/adv,1
聞/verb,志/noun,1
志/noun,聞/verb,1
至/verb,則/adv,1
邦/noun,曰/verb,1
則/adv,至/verb,1
曰/verb,邦/noun,1
怨/verb,人/noun,1
人/noun,怨/verb,1
以/verb,與/verb,1
與/verb,以/verb,1
居/verb,敬/verb,1
敬/verb,居/verb,1
民/noun,可/verb,1
亦/adv,可/verb,1
亦/adv,居/verb,1
可/verb,民/noun,1
可/verb,亦/adv,1
可/verb,居/verb,1
居/verb,亦/adv,1
居/verb,可/verb,1
雖/adv,用/verb,1
用/verb,雖/adv,1
則/adv,日/noun,1
日/noun,則/adv,1
日/noun,至/verb,1
至/verb,日/noun,1
聞/verb,好/verb,1
好/verb,聞/verb,1
達/verb,從/verb,1
從/verb,達/verb,1
非/adv,說/verb,1
說/verb,非/adv,1
說/verb,子/noun,1
子/noun,說/verb,1
子/noun,道/noun,1
道/noun,子/noun,1
命/noun,人/noun,1
人/noun,命/noun,1
則/adv,必/adv,1
必/adv,則/adv,1
中/noun,道/noun,1
道/noun,中/noun,1
道/noun,今/noun,1
今/noun,道/noun,1
樂/noun,賢/verb,1
賢/verb,樂/noun,1
出/verb,由/verb,1
由/verb,出/verb,1
莫/adv,由/verb,1
莫/adv,道/noun,1
由/verb,莫/adv,1
由/verb,道/noun,1
道/noun,莫/adv,1
道/noun,由/verb,1
由/verb,非/adv,1
非/adv,由/verb,1
非/adv,事/noun,1
事/noun,非/adv,1
難/verb,今/noun,1
今/noun,難/verb,1
人/noun,直/verb,1
直/verb,人/noun,1
義/noun,敬/verb,1
敬/verb,義/noun,1
遠/verb,知/verb,1
知/verb,遠/verb,1
仁/verb,先/noun,1
仁/verb,難/verb,1
先/noun,仁/verb,1
先/noun,難/verb,1
難/verb,仁/verb,1
難/verb,先/noun,1
難/verb,後/noun,1
後/noun,難/verb,1
後/noun,謂/verb,1
謂/verb,後/noun,1
上/noun,中/noun,1
中/noun,上/noun,1
至/verb,道/noun,1
道/noun,至/verb,1
仁/verb,雖/adv,1
雖/adv,仁/verb,1
有/verb,從/verb,1
仁/noun,從/verb,1
從/verb,有/verb,1
從/verb,仁/noun,1
中/noun,為/verb,1
為/verb,中/noun,1
為/verb,德/noun,1
德/noun,為/verb,1
德/noun,至/verb,1
至/verb,德/noun,1
至/verb,民/noun,1
民/noun,至/verb,1
德/noun,學/noun,1
學/noun,德/noun,1
聞/verb,義/noun,1
義/noun,聞/verb,1
義/noun,善/verb,1
善/verb,義/noun,1
德/noun,仁/noun,1
仁/noun,德/noun,1
事/verb,仁/noun,1
事/verb,必/adv,1
仁/noun,事/verb,1
必/adv,事/verb,1
立/verb,達/verb,1
達/verb,立/verb,1
上/noun,未/adv,1
未/adv,上/noun,1
未/adv,無/verb,1
無/verb,未/adv,1
用/verb,行/verb,1
行/verb,用/verb,1
樂/noun,至/verb,1
至/verb,樂/noun,1
求/verb,雖/adv,1
雖/adv,求/verb,1
士/noun,亦/adv,1
亦/adv,士/noun,1
求/verb,好/verb,1
好/verb,求/verb,1
好/verb,成/verb,1
成/verb,好/verb,1
求/verb,仁/noun,1
仁/noun,求/verb,1
仁/noun,何/adv,1
何/adv,仁/noun,1
何/adv,怨/verb,1
怨/verb,何/adv,1
無/verb,過/noun,1
大/verb,過/noun,1
過/noun,無/verb,1
過/noun,大/verb,1
非/adv,知/verb,1
知/verb,非/adv,1
從/verb,善/verb,1
善/verb,從/verb,1
樂/noun,在/verb,1
亦/adv,在/verb,1
亦/adv,中/noun,1
在/verb,樂/noun,1
在/verb,亦/adv,1
中/noun,亦/adv,1
至/verb,云/verb,1
云/verb,至/verb,1
見/verb,可/verb,1
君子/noun,可/verb,1
可/verb,見/verb,1
可/verb,君子/noun,1
無/verb,子/noun,1
子/noun,無/verb,1
遠/verb,欲/verb,1
欲/verb,遠/verb,1
過/noun,必/adv,1
必/adv,過/noun,1
無/verb,多/verb,1
多/verb,無/verb,1
從/verb,多/verb,1
多/verb,從/verb,1
可/verb,為/verb,1
為/verb,可/verb,1
文/noun,莫/adv,1
莫/adv,文/noun,1
莫/adv,人/noun,1
人/noun,莫/adv,1
曰/verb,上/noun,1
上/noun,曰/verb,1
則/adv,謂/verb,1
則/adv,云/verb,1
謂/verb,則/adv,1
謂/verb,云/verb,1
云/verb,則/adv,1
云/verb,謂/verb,1
民/noun,得/verb,1
得/verb,民/noun,1
今/noun,知/verb,1
知/verb,今/noun,1
從/verb,事/verb,1
事/verb,從/verb,1
立/verb,禮/noun,1
立/verb,成/verb,1
禮/noun,立/verb,1
成/verb,立/verb,1
成/verb,樂/noun,1
樂/noun,成/verb,1
民/noun,由/verb,1
由/verb,民/noun,1
使/verb,知/verb,1
知/verb,使/verb,1
則/adv,勇/noun,1
勇/noun,則/adv,1
直/verb,無/verb,1
直/verb,禮/noun,1
無/verb,直/verb,1
禮/noun,直/verb,1
年/noun,至/verb,1
學/verb,至/verb,1
至/verb,年/noun,1
至/verb,學/verb,1
人/noun,死/verb,1
死/verb,人/noun,1
死/verb,言/noun,1
言/noun,死/verb,1
言/noun,善/verb,1
善/verb,言/noun,1
正/verb,色/noun,1
色/noun,正/verb,1
色/noun,信/verb,1
信/verb,色/noun,1
道/noun,遠/verb,1
道/noun,仁/verb,1
遠/verb,道/noun,1
遠/verb,以/verb,1
仁/verb,道/noun,1
以/verb,遠/verb,1
亦/adv,死/verb,1
死/verb,亦/adv,1
後/noun,亦/adv,1
亦/adv,後/noun,1
亦/adv,遠/verb,1
遠/verb,亦/adv,1
學/verb,及/verb,1
及/verb,學/verb,1
臣/noun,人/noun,1
人/noun,臣/noun,1
學/verb,成/verb,1
無/verb,成/verb,1
成/verb,學/verb,1
成/verb,無/verb,1
難/verb,然/verb,1
然/verb,難/verb,1
學/noun,死/verb,1
死/verb,學/noun,1
善/verb,道/noun,1
道/noun,善/verb,1
邦/noun,天/noun,1
居/verb,天/noun,1
天/noun,邦/noun,1
天/noun,居/verb,1
夫子/noun,多/verb,1
多/verb,夫子/noun,1
子/noun,云/verb,1
云/verb,子/noun,1
下/noun,今/noun,1
今/noun,下/noun,1
今/noun,上/noun,1
上/noun,今/noun,1
上/noun,雖/adv,1
雖/adv,上/noun,1
從/verb,下/noun,1
下/noun,從/verb,1
至/verb,出/verb,1
出/verb,至/verb,1
文/noun,在/verb,1
在/verb,文/noun,1
文/noun,後/noun,1
後/noun,文/noun,1
後/noun,與/verb,1
死/verb,與/verb,1
與/verb,後/noun,1
與/verb,死/verb,1
與/verb,文/noun,1
與/verb,天/noun,1
文/noun,與/verb,1
天/noun,與/verb,1
天/noun,未/adv,1
未/adv,天/noun,1
文/noun,人/noun,1
人/noun,文/noun,1
求/verb,善/verb,1
善/verb,求/verb,1
有/verb,夫/noun,1
夫/noun,有/verb,1
夫/noun,問/verb,1
問/verb,夫/noun,1
居/verb,何/adv,1
何/adv,居/verb,1
天/noun,死/verb,1
死/verb,天/noun,1
死/verb,臣/noun,1
臣/noun,死/verb,1
得/verb,大/verb,1
大/verb,得/verb,1
大/verb,死/verb,1
死/verb,大/verb,1
出/verb,事/verb,1
事/verb,出/verb,1
則/adv,父/noun,1
父/noun,則/adv,1
事/noun,為/verb,1
為/verb,事/noun,1
焉/adv,在/verb,1
焉/adv,後/noun,1
在/verb,焉/adv,1
在/verb,後/noun,1
在/verb,夫子/noun,1
後/noun,焉/adv,1
後/noun,在/verb,1
後/noun,夫子/noun,1
夫子/noun,在/verb,1
夫子/noun,後/noun,1
然/verb,善/verb,1
善/verb,然/verb,1
如/verb,立/verb,1
有/verb,立/verb,1
立/verb,如/verb,1
立/verb,有/verb,1
立/verb,雖/adv,1
雖/adv,立/verb,1
從/verb,由/verb,1
由/verb,從/verb,1
如/verb,今/noun,1
今/noun,如/verb,1
今/noun,無/verb,1
今/noun,聞/verb,1
無/verb,今/noun,1
聞/verb,今/noun,1
聞/verb,亦/adv,1
亦/adv,聞/verb,1
為/verb,未/adv,1
未/adv,為/verb,1
未/adv,成/verb,1
成/verb,未/adv,1
道/noun,何/adv,1
何/adv,道/noun,1
夫/noun,志/noun,1
志/noun,夫/noun,1
仁/noun,勇/noun,1
勇/noun,仁/noun,1
然/verb,知/verb,1
知/verb,然/verb,1
立/verb,由/verb,1
由/verb,立/verb,1
由/verb,求/verb,1
求/verb,由/verb,1
